Route Number,Starting Point,Destination,Key Stops,Current Traffic Condition
1,Thiruvottiyur,Tambaram,"Royapuram, Broadway, Saidapet, Guindy",Moderate congestion near Saidapet and Guindy.
15B,Broadway,Velachery,"Egmore, Nungambakkam, T. Nagar, Adyar",Heavy traffic around T. Nagar and Adyar.
21G,Broadway,Avadi,"Central, Poonamallee High Road, Ambattur",Slow-moving traffic on Poonamallee High Road.
27B,Anna Square,Guduvanchery,"Saidapet, Guindy, Tambaram, Vandalur",Congestion near Tambaram and Vandalur.
29C,Perambur,Thiruvanmiyur,"Chetpet, Nungambakkam, T. Nagar, Adyar",Busy traffic in Nungambakkam and T. Nagar.
41D,Mandaveli,Anna Nagar West,"Mylapore, Nungambakkam, Aminjikarai",Moderate traffic throughout the route.
47A,Thiruvanmiyur,Ambattur Industrial Estate,"Adyar, Kotturpuram, Anna Nagar, Mogappair",Delays near Anna Nagar and Mogappair.
51J,Broadway,Kelambakkam,"Santhome, Adyar, Thiruvanmiyur, Sholinganallur",Heavy traffic in Sholinganallur area.
54,High Court,Poonamallee,"Central, Koyambedu, Maduravoyal",Slow traffic near Koyambedu and Maduravoyal.
56D,Broadway,Manali Bus Terminal,"Tondiarpet, Manali",Smooth traffic flow along the route.
70,CMBT,Tambaram,"Ashok Pillar, Chromepet",Congestion near Ashok Pillar and Chromepet.
79,Broadway,Ambattur Estate,"Central, Padi, Mogappair",Delays near Padi and Mogappair.
88C,Broadway,Kovalam,"Santhome, Adyar, Thiruvanmiyur, Neelankarai",Moderate traffic near Neelankarai.
102,Broadway,Mahabalipuram,"Adyar, Thiruvanmiyur, Sholinganallur, Kelambakkam",Heavy traffic in Sholinganallur area.
119,T. Nagar,Tambaram,"Saidapet, Guindy, Chromepet",Congestion near Saidapet and Chromepet.
170,CMBT,Thiruvanmiyur,"Vadapalani, T. Nagar, Adyar",Busy traffic in T. Nagar and Adyar.
221,Broadway,Avadi,"Central, Poonamallee High Road, Ambattur",Slow-moving traffic on Poonamallee High Road.
500A,Thiruvanmiyur,Vandalur Zoo,"Adyar, Sholinganallur, Medavakkam",Delays near Sholinganallur and Medavakkam.
570,CMBT,Siruseri IT Park,"Vadapalani, T. Nagar, Adyar, Thiruvanmiyur, Sholinganallur",Heavy traffic in Sholinganallur area.
597,Broadway,Thiruporur,"Adyar, Thiruvanmiyur, Sholinganallur, Kelambakkam",Moderate traffic near Kelambakkam.
A1,Thiruvanmiyur,Anna Square,"Adyar, Santhome",Smooth traffic flow along the route.
A21,Broadway,Besant Nagar,"Central, Adyar, Thiruvanmiyur",Busy traffic in Adyar and Thiruvanmiyur.
B18,T. Nagar,Thiruvanmiyur,"Saidapet, Adyar",Congestion near Saidapet and Adyar.
D70,CMBT,Thiruvanmiyur,"Vadapalani, T. Nagar, Adyar",Heavy traffic in T. Nagar and Adyar.
E18,Broadway,Tambaram,"Central, Saidapet, Guindy",Delays near Saidapet and Guindy.
M21,Broadway,Mogappair,"Central, Padi",Moderate traffic near Padi.
S21,Broadway,Sriperumbudur,"Central, Poonamallee",Slow-moving traffic on Poonamallee High Road.
X70,CMBT,Kelambakkam,"Vadapalani, T. Nagar, Adyar, Thiruvanmiyur, Sholinganallur",Heavy traffic in Sholinganallur area.
568C,Broadway,Chengalpattu,"Central, Tambaram, Guduvanchery",Congestion near Tambaram and Guduvanchery.
570S,CMBT,Siruseri IT Park,"Vadapalani, T. Nagar, Adyar, Thiruvanmiyur, Sholinganallur",Heavy traffic in Sholinganallur area.
